case	real	time	intersection	reduce	stress	cycles_through_done_handshake	last_gate	source_reads	w_reads	w_zero	packets	events	commits	source_req_wait	w_req_wait	w_response_wait	output_wait	barrier_wait	psn_issues	nr_peak	w_pending_peak	w_accept_peak	source_accept_peak	first_tile0	first_tile1	w_metadata_reads	w_value_reads	compare_active_PE_beats	weight_pointer_advances_without_value	nrv_skips	nnz_tile0	nnz_tile1	image_bytes_tile0	image_bytes_tile1	frontend_load_beats	configuration_beats	rank_catchup_pe_beats
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_class	1	0	3	1	0	1138	1131	288	238	6	61	301	233	0	0	0	0	5	2432	2	4	4	4	0	2	4	234	0	0	0	377	376	386	386	3	96	0
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_class	1	0	3	1	1	1630	1623	288	238	6	61	301	233	41	94	0	17	5	2432	1	4	3	4	0	2	4	234	0	0	0	377	376	386	386	11	96	0
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_class	1	0	4	0	0	1139	1132	288	238	6	61	301	233	0	0	0	0	7	2432	2	4	4	4	0	3	4	234	0	0	0	377	376	386	386	3	96	0
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_class	1	0	4	0	1	1639	1632	288	238	6	61	301	233	41	78	0	13	7	2432	1	4	4	4	0	3	4	234	0	0	0	377	376	386	386	13	96	0
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_class	1	0	4	1	0	1139	1132	288	238	6	61	301	233	0	0	0	0	5	2432	2	4	4	4	0	2	4	234	0	0	0	377	376	386	386	3	96	0
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_class	1	0	4	1	1	1639	1632	288	238	6	61	301	233	41	78	0	15	5	2432	1	4	4	4	0	2	4	234	0	0	0	377	376	386	386	13	96	0
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_time	1	1	3	0	0	1090	1083	288	238	6	61	645	483	0	0	0	0	11	2080	2	4	4	4	0	3	4	234	0	0	0	377	376	386	386	3	85	0
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_time	1	1	3	0	1	1554	1547	288	238	6	61	645	483	37	79	0	34	11	2080	2	4	4	4	0	3	4	234	0	0	0	377	376	386	386	12	85	0
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_time	1	1	3	1	0	1090	1083	288	238	6	61	645	483	0	0	0	0	10	2080	2	4	4	4	0	2	4	234	0	0	0	377	376	386	386	3	85	0
v006_zurich_city_02_c_0011_s2b0_p52_h97_830_packed_time	1	1	3	1	1	1554	1547	288	238	6	61	645	483	37	79	0	29	10	2080	1	4	4	4	0	2	4	234	0	0	0	377	376	386	386	12	85	0
