case,real,order,mode,bp,packed32,prefetch,frontier,resident,active_pf,cycles,channels,batches,pairs,scalar_mac,words,xwords,graph_words,prefetch_words,cache_hits,refetches,peak_slots,graph_hits,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13
train0_p3,1,1,2,1,1,1,0,0,0,1271,49,49,490,4900,223,98,104,96,0,0,1,346,78,2,1,30,57,6,126,0,308,49,490,147,49,0,8,1
train0_p3,1,1,2,1,1,1,0,0,1,1271,49,49,490,4900,223,98,104,96,0,0,1,346,78,2,1,30,57,6,126,0,308,49,490,147,49,0,8,1
train0_p3,1,1,2,1,1,1,0,1,0,1271,49,49,490,4900,223,98,104,96,0,0,4,346,78,2,1,30,57,6,126,0,308,49,490,147,49,0,8,1
train0_p3,1,1,2,1,1,1,0,1,1,1271,49,49,490,4900,223,98,104,96,0,0,4,346,78,2,1,30,57,6,126,0,308,49,490,147,49,0,8,1
train0_p3,1,1,2,1,1,1,1,0,0,1283,62,47,412,4120,246,124,101,81,0,13,3,316,85,4,1,30,57,6,146,0,328,47,470,141,47,0,10,1
train0_p3,1,1,2,1,1,1,1,0,1,1253,62,47,412,4120,254,124,109,98,0,13,3,338,87,4,1,30,57,6,137,0,307,47,470,141,47,0,10,1
train0_p3,1,1,2,1,1,1,1,1,0,1247,62,47,412,4120,220,98,101,81,13,0,4,316,77,3,1,30,57,6,160,0,279,47,470,141,47,0,9,1
train0_p3,1,1,2,1,1,1,1,1,1,1241,62,47,412,4120,228,98,109,98,13,0,4,338,78,2,1,30,57,6,143,0,291,47,470,141,47,0,8,1
train0_p3,1,1,3,0,1,1,0,0,0,1048,49,49,490,4900,222,98,103,95,0,0,1,346,0,0,1,21,21,6,111,0,147,49,490,147,49,0,6,1
train0_p3,1,1,3,0,1,1,0,0,1,1048,49,49,490,4900,222,98,103,95,0,0,1,346,0,0,1,21,21,6,111,0,147,49,490,147,49,0,6,1
train0_p3,1,1,3,0,1,1,0,1,0,1048,49,49,490,4900,222,98,103,95,0,0,4,346,0,0,1,21,21,6,111,0,147,49,490,147,49,0,6,1
train0_p3,1,1,3,0,1,1,0,1,1,1048,49,49,490,4900,222,98,103,95,0,0,4,346,0,0,1,21,21,6,111,0,147,49,490,147,49,0,6,1
train0_p3,1,1,3,0,1,1,1,0,0,1021,62,47,412,4120,245,124,100,80,0,13,3,316,0,0,1,21,21,6,116,0,145,47,470,141,47,0,6,1
train0_p3,1,1,3,0,1,1,1,0,1,1015,62,47,412,4120,253,124,108,98,0,13,3,337,0,0,1,21,21,6,110,0,145,47,470,141,47,0,6,1
