case,real,mode,bp,cycles,source_to_gate,boot_cycles,fc_cycles,psn_cycles,words,coeff_words,updates,mac,jobs,zero_jobs,bank_skips,psn_wait,peak_words,peak_desc,out_stall,bank_req_stall
real_v1_tile199_h0,1,0,0,9259,8494,764,4003,4171,766,384,3996,3060,64,0,0,0,24,4,0,0
real_v1_tile199_h0,1,0,1,10113,8674,1438,4007,4294,766,384,3996,3060,64,0,0,0,24,4,123,215
real_v1_tile199_h0,1,1,0,6454,5665,788,1174,4171,1402,1008,1162,3060,84,0,0,0,24,2,0,0
real_v1_tile199_h0,1,1,1,7420,5936,1483,1273,4290,1402,1008,1162,3060,84,0,0,0,24,2,119,423
real_v1_tile199_h0,1,2,0,6449,5660,788,1169,4171,1066,672,1162,3060,84,0,0,0,24,3,0,0
real_v1_tile199_h0,1,2,1,7341,5857,1483,1191,4293,1066,672,1162,3060,84,0,0,0,24,3,122,310
real_v1_tile199_h0,1,3,0,6461,5660,800,1169,4171,1072,672,1162,3060,84,0,0,0,24,3,0,0
real_v1_tile199_h0,1,3,1,7365,5850,1513,1189,4288,1072,672,1162,3060,84,0,0,0,24,3,117,349
real_v1_tile199_h0,1,4,0,6455,5660,794,1169,4171,1069,672,1162,3060,84,0,0,0,24,3,0,0
real_v1_tile199_h0,1,4,1,7343,5851,1491,1189,4288,1069,672,1162,3060,84,0,0,0,24,3,117,317
real_v1_tile199_h1,1,0,0,9259,8494,764,4003,4171,766,384,3996,3060,64,0,0,0,24,4,0,0
real_v1_tile199_h1,1,0,1,10114,8669,1443,4006,4290,766,384,3996,3060,64,0,0,0,24,4,119,238
real_v1_tile199_h1,1,1,0,6454,5665,788,1174,4171,1402,1008,1162,3060,84,0,0,0,24,2,0,0
real_v1_tile199_h1,1,1,1,7420,5931,1488,1268,4290,1402,1008,1162,3060,84,0,0,0,24,2,119,427
real_v1_tile199_h1,1,2,0,6449,5660,788,1169,4171,1066,672,1162,3060,84,0,0,0,24,3,0,0
real_v1_tile199_h1,1,2,1,7342,5853,1488,1189,4291,1066,672,1162,3060,84,0,0,0,24,3,120,327
real_v1_tile199_h1,1,3,0,6461,5660,800,1169,4171,1072,672,1162,3060,84,0,0,0,24,3,0,0
real_v1_tile199_h1,1,3,1,7363,5855,1506,1191,4291,1072,672,1162,3060,84,0,0,0,24,3,120,319
real_v1_tile199_h1,1,4,0,6455,5660,794,1169,4171,1069,672,1162,3060,84,0,0,0,24,3,0,0
real_v1_tile199_h1,1,4,1,7353,5852,1499,1189,4290,1069,672,1162,3060,84,0,0,0,24,3,119,321
real_v1_tile199_h2,1,0,0,9259,8494,764,4003,4171,766,384,3996,3060,64,0,0,0,24,4,0,0
real_v1_tile199_h2,1,0,1,10103,8671,1431,4007,4291,766,384,3996,3060,64,0,0,0,24,4,120,235
real_v1_tile199_h2,1,1,0,6454,5665,788,1174,4171,1402,1008,1162,3060,84,0,0,0,24,2,0,0
real_v1_tile199_h2,1,1,1,7408,5931,1476,1268,4290,1402,1008,1162,3060,84,0,0,0,24,2,119,427
real_v1_tile199_h2,1,2,0,6449,5660,788,1169,4171,1066,672,1162,3060,84,0,0,0,24,3,0,0
real_v1_tile199_h2,1,2,1,7330,5853,1476,1189,4291,1066,672,1162,3060,84,0,0,0,24,3,120,314
real_v1_tile199_h2,1,3,0,6461,5660,800,1169,4171,1072,672,1162,3060,84,0,0,0,24,3,0,0
real_v1_tile199_h2,1,3,1,7354,5852,1501,1190,4289,1072,672,1162,3060,84,0,0,0,24,3,118,311
