fixture,mode,stall,command,total_cycles,static_words,source_load_words,core_cycles,core_encoder_cycles,core_candidate_trials,core_mac_issues,core_base_reads,core_base_negations,core_reference_writes,core_choice_prev,core_choice_anchor,core_choice_neg1,core_choice_pos2,core_choice_neg2,core_range_rejects,consumer_cycles,consumer_join_wait_cycles,consumer_output_stalls
extreme_-1,0,0,0,69522,1848,1536,66128,0,0,3840,0,0,0,0,0,0,0,0,0,66134,62749,0
extreme_-1,0,0,1,67674,0,1536,66128,0,0,3840,0,0,0,0,0,0,0,0,0,66134,62749,0
extreme_-1,0,1,0,71167,1848,1536,67004,0,0,3840,0,0,0,0,0,0,0,0,0,67011,63356,270
extreme_-1,0,1,1,69162,0,1536,67001,0,0,3840,0,0,0,0,0,0,0,0,0,67008,63353,270
extreme_-1,1,0,0,66218,1848,1536,62824,152,36,384,0,0,0,36,0,0,0,0,0,62830,59445,0
extreme_-1,1,0,1,64370,0,1536,62824,152,36,384,0,0,0,36,0,0,0,0,0,62830,59445,0
extreme_-1,1,1,0,67859,1848,1536,63697,152,36,384,0,0,0,36,0,0,0,0,0,63703,60048,270
extreme_-1,1,1,1,65854,0,1536,63694,152,36,384,0,0,0,36,0,0,0,0,0,63700,60047,268
extreme_-1,2,0,0,66218,1848,1536,62824,152,36,384,0,0,0,36,0,0,0,0,0,62830,59445,0
extreme_-1,2,0,1,64370,0,1536,62824,152,36,384,0,0,0,36,0,0,0,0,0,62830,59445,0
extreme_-1,2,1,0,67859,1848,1536,63697,152,36,384,0,0,0,36,0,0,0,0,0,63703,60048,270
extreme_-1,2,1,1,65854,0,1536,63694,152,36,384,0,0,0,36,0,0,0,0,0,63700,60047,268
fp_conversion_boundaries,0,0,0,12112,1848,1536,8718,0,0,0,0,0,0,0,0,0,0,0,0,8724,5339,0
fp_conversion_boundaries,0,0,1,10264,0,1536,8718,0,0,0,0,0,0,0,0,0,0,0,0,8724,5339,0
fp_conversion_boundaries,0,1,0,13402,1848,1536,9237,0,0,0,0,0,0,0,0,0,0,0,0,9246,5592,269
fp_conversion_boundaries,0,1,1,11397,0,1536,9236,0,0,0,0,0,0,0,0,0,0,0,0,9243,5589,269
fp_conversion_boundaries,1,0,0,12192,1848,1536,8798,80,0,0,0,0,0,0,0,0,0,0,0,8804,5419,0
fp_conversion_boundaries,1,0,1,10344,0,1536,8798,80,0,0,0,0,0,0,0,0,0,0,0,8804,5419,0
fp_conversion_boundaries,1,1,0,13479,1848,1536,9317,80,0,0,0,0,0,0,0,0,0,0,0,9323,5669,269
fp_conversion_boundaries,1,1,1,11484,0,1536,9324,80,0,0,0,0,0,0,0,0,0,0,0,9330,5672,273
fp_conversion_boundaries,2,0,0,12192,1848,1536,8798,80,0,0,0,0,0,0,0,0,0,0,0,8804,5419,0
fp_conversion_boundaries,2,0,1,10344,0,1536,8798,80,0,0,0,0,0,0,0,0,0,0,0,8804,5419,0
fp_conversion_boundaries,2,1,0,13479,1848,1536,9317,80,0,0,0,0,0,0,0,0,0,0,0,9323,5669,269
fp_conversion_boundaries,2,1,1,11484,0,1536,9324,80,0,0,0,0,0,0,0,0,0,0,0,9330,5672,273
direction_alphabet,0,0,0,32466,1848,1536,29072,0,0,3072,0,0,0,0,0,0,0,0,0,29078,25693,0
direction_alphabet,0,0,1,30618,0,1536,29072,0,0,3072,0,0,0,0,0,0,0,0,0,29078,25693,0
direction_alphabet,0,1,0,34112,1848,1536,29949,0,0,3072,0,0,0,0,0,0,0,0,0,29956,26303,268
direction_alphabet,0,1,1,32109,0,1536,29949,0,0,3072,0,0,0,0,0,0,0,0,0,29955,26301,269
direction_alphabet,1,0,0,32354,1848,1536,28960,176,48,2688,48,0,48,0,4,0,0,0,0,28966,25581,0
direction_alphabet,1,0,1,30506,0,1536,28960,176,48,2688,48,0,48,0,4,0,0,0,0,28966,25581,0
direction_alphabet,1,1,0,33987,1848,1536,29824,176,48,2688,48,0,48,0,4,0,0,0,0,29831,26177,269
direction_alphabet,1,1,1,31982,0,1536,29821,176,48,2688,48,0,48,0,4,0,0,0,0,29828,26172,271
direction_alphabet,2,0,0,30642,1848,1536,27248,288,104,384,336,192,48,0,4,8,8,8,0,27254,23869,0
direction_alphabet,2,0,1,28794,0,1536,27248,288,104,384,336,192,48,0,4,8,8,8,0,27254,23869,0
direction_alphabet,2,1,0,32282,1848,1536,28119,288,104,384,336,192,48,0,4,8,8,8,0,28126,24472,269
direction_alphabet,2,1,1,30277,0,1536,28116,288,104,384,336,192,48,0,4,8,8,8,0,28123,24468,270
direction_residual,0,0,0,26439,1848,1536,23045,0,0,3072,0,0,0,0,0,0,0,0,0,23051,19666,0
direction_residual,0,0,1,24591,0,1536,23045,0,0,3072,0,0,0,0,0,0,0,0,0,23051,19666,0
direction_residual,0,1,0,27992,1848,1536,23829,0,0,3072,0,0,0,0,0,0,0,0,0,23836,20181,270
direction_residual,0,1,1,25987,0,1536,23826,0,0,3072,0,0,0,0,0,0,0,0,0,23833,20178,270
direction_residual,1,0,0,26327,1848,1536,22933,176,48,2688,48,0,48,0,4,0,0,0,0,22939,19554,0
direction_residual,1,0,1,24479,0,1536,22933,176,48,2688,48,0,48,0,4,0,0,0,0,22939,19554,0
direction_residual,1,1,0,27867,1848,1536,23702,176,48,2688,48,0,48,0,4,0,0,0,0,23711,20057,269
direction_residual,1,1,1,25862,0,1536,23701,176,48,2688,48,0,48,0,4,0,0,0,0,23708,20056,267
direction_residual,2,0,0,24767,1848,1536,21373,296,108,528,336,192,48,0,4,8,8,8,0,21379,17994,0
direction_residual,2,0,1,22919,0,1536,21373,296,108,528,336,192,48,0,4,8,8,8,0,21379,17994,0
direction_residual,2,1,0,26309,1848,1536,22147,296,108,528,336,192,48,0,4,8,8,8,0,22153,18497,271
direction_residual,2,1,1,24307,0,1536,22146,296,108,528,336,192,48,0,4,8,8,8,0,22153,18498,270
range_guard,0,0,0,64392,1848,1536,60998,0,0,3840,0,0,0,0,0,0,0,0,0,61004,57619,0
range_guard,0,0,1,62544,0,1536,60998,0,0,3840,0,0,0,0,0,0,0,0,0,61004,57619,0
range_guard,0,1,0,66067,1848,1536,61904,0,0,3840,0,0,0,0,0,0,0,0,0,61911,58258,268
range_guard,0,1,1,64064,0,1536,61904,0,0,3840,0,0,0,0,0,0,0,0,0,61910,58254,271
range_guard,1,0,0,61576,1848,1536,58182,160,40,768,48,0,48,28,4,0,0,0,0,58188,54803,0
range_guard,1,0,1,59728,0,1536,58182,160,40,768,48,0,48,28,4,0,0,0,0,58188,54803,0
range_guard,1,1,0,63247,1848,1536,59084,160,40,768,48,0,48,28,4,0,0,0,0,59091,55436,270
range_guard,1,1,1,61242,0,1536,59081,160,40,768,48,0,48,28,4,0,0,0,0,59088,55433,270
range_guard,2,0,0,61600,1848,1536,58206,184,52,768,48,0,48,28,4,0,0,0,8,58212,54827,0
range_guard,2,0,1,59752,0,1536,58206,184,52,768,48,0,48,28,4,0,0,0,8,58212,54827,0
range_guard,2,1,0,63269,1848,1536,59107,184,52,768,48,0,48,28,4,0,0,0,8,59113,55459,269
range_guard,2,1,1,61267,0,1536,59106,184,52,768,48,0,48,28,4,0,0,0,8,59113,55459,269
